"FedEx 운임표  |  고객: DONGMYUNG BEARING CO., LTD.  |  제안번호: 16054908  |  유효: 2026-03-24  |  통화: KRW",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
▶ 1. FedEx International Priority Import (IP)  |  단위: KRW/건,,,,,,,,,,,,,,,,,,,,,,
중량(Kg),구분,지역 A,지역 D,지역 E,지역 F,지역 G,지역 H,지역 I,지역 J,지역 K,지역 M,지역 N,,,,,,,,,,
러시아,H,H,H,,,,,,,,,,,,,,,,,,,
사우디아라비아,J,J,J,J,J,,,,,,,,,,,,,,,,,
싱가포르,Y,Y,Y,Y,A,,,,,,,,,,,,,,,,,
남아프리카,J,J,J,J,J,,,,,,,,,,,,,,,,,
스페인,M,M,M,M,G,,,,,,,,,,,,,,,,,
스웨덴,G,G,G,G,G,,,,,,,,,,,,,,,,,
스위스,G,G,G,G,G,,,,,,,,,,,,,,,,,
대만,X,X,X,X,A,,,,,,,,,,,,,,,,,
태국,R,R,R,R,C,,,,,,,,,,,,,,,,,
터키,H,H,H,H,H,,,,,,,,,,,,,,,,,
아랍에미리트,J,J,J,J,J,,,,,,,,,,,,,,,,,
영국,M,M,M,M,G,,,,,,,,,,,,,,,,,
미국(서부CA/OR/WA/AZ/NV/CO/ID/UT),E,E,E,E,E,,,,,,,,,,,,,,,,,
미국(기타),F,F,F,F,F,,,,,,,,,,,,,,,,,
베트남,N,N,N,N,C,,,,,,,,,,,,,,,,,
기타 아시아 국가,J,J,J,J,J,,,,,,,,,,,,,,,,,
